"id_enquesta";"id_alumne";"nom_alumne";"soc_POS";"soc_NEG";"ar_i";"pros";"af";"ar_d";"pros_2";"av";"vf";"vv";"vr";"amics"
1;1;"Alumne1";1;4;0;8;8;8;0;0;2;5;11;1
1;2;"Alumne2";3;2;1;2;1;1;3;4;0;0;0;1
1;3;"Alumne3";4;1;0;2;2;9;2;3;0;2;0;2
1;4;"Alumne4";2;4;4;1;2;1;0;5;10;10;1;2
1;5;"Alumne5";7;1;0;0;0;1;11;5;0;0;0;4
1;6;"Alumne6";0;9;13;9;13;5;0;1;16;15;19;0
1;7;"Alumne7";1;8;2;2;2;3;0;0;9;11;14;0
1;8;"Alumne8";5;1;0;1;1;4;6;4;1;0;0;6
1;9;"Alumne9";5;4;0;8;8;10;5;4;0;1;0;4
1;10;"Alumne10";4;2;7;4;2;1;2;2;10;7;1;4
1;11;"Alumne11";6;0;4;1;1;0;7;9;3;1;0;8
1;12;"Alumne12";3;2;0;0;0;2;2;2;0;0;0;4
1;13;"Alumne13";4;0;1;0;0;1;2;4;0;0;1;2
1;14;"Alumne14";1;6;0;0;1;0;5;7;1;2;9;0
1;15;"Alumne15";1;4;4;7;1;1;0;0;0;6;1;0
1;16;"Alumne16";1;11;19;12;13;7;1;0;1;0;1;1
1;17;"Alumne17";4;0;3;1;0;2;0;1;1;1;1;7
1;18;"Alumne18";2;0;0;3;5;4;6;4;1;0;0;5
1;19;"Alumne19";5;2;2;2;2;1;1;2;4;1;0;5
1;20;"Alumne20";2;0;0;0;0;0;9;5;0;0;1;3
1;21;"Alumne21";2;2;3;0;1;2;1;1;4;1;3;4
